source,target,value
Gustavo A. Madero,Tlalnepantla de Baz,1136
Cuauhtémoc,Ecatepec de Morelos,1263
Gustavo A. Madero,Ecatepec de Morelos,1792
Iztapalapa,Nezahualcóyotl,1246
Cuauhtémoc,Nezahualcóyotl,1166
Benito Juárez,Álvaro Obregón,1246
Iztapalapa,Tláhuac,1096
Coyoacán,Tlalpan,2050
Álvaro Obregón,Benito Juárez,1248
Cuauhtémoc,Benito Juárez,1216
Iztapalapa,Benito Juárez,1256
Coyoacán,Benito Juárez,1089
Venustiano Carranza,Cuauhtémoc,1415
Benito Juárez,Cuauhtémoc,1219
Miguel Hidalgo,Cuauhtémoc,1098
Gustavo A. Madero,Cuauhtémoc,2189
Iztapalapa,Cuauhtémoc,2060
Cuauhtémoc,Miguel Hidalgo,1089
Cuauhtémoc,Venustiano Carranza,1405
Benito Juárez,Coyoacán,1116
Tlalpan,Coyoacán,2025
Iztapalapa,Coyoacán,1658
Cuauhtémoc,Gustavo A. Madero,2185
Iztapalapa,Iztacalco,1628
Tláhuac,Iztapalapa,1109
Cuauhtémoc,Iztapalapa,2033
Coyoacán,Iztapalapa,1660
Iztacalco,Iztapalapa,1625
Benito Juárez,Iztapalapa,1221
